razon_social,n_concesiones,hectareas_totales,departamentos,provincias,estados_concesion,sustancias,dominio_corporativo,nombre_decisor,cargo,correo_corporativo,telefono_empresarial,fuente_dato,servicio_potencial,ultima_interaccion
COMPAÑIA MINERA PLUTON S.A.C.,4,1300.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA DE REFORESTACIÓN CERTIFICACIÓN Y COMERCIALIZACIÓN S,4,500.0,CAJAMARCA,CAJAMARCA,EXTINGUIDO; TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA POSHAN S.A.C. Y OTROS,4,2000.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES 3MB SRL,4,500.0,CAJAMARCA,CHOTA; SANTA CRUZ,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA PEPE LUCHO S.A.C.,4,829.8,CAJAMARCA,CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
NEGOCIACION MINERA EMILIO MONTOYA ZAMBRANO S.A.,4,16.0,CAJAMARCA,HUALGAYOC,OTROS; TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
LA ARENA S.A.,4,3600.0,CAJAMARCA; CAJAMARCA /  LA LIBERTAD,CAJABAMBA; CAJABAMBA /  SANCHEZ CARRION,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
LA RESURRECCION E.I.R.L.,4,900.0,CAJAMARCA,CHOTA /  HUALGAYOC; HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA COLQUIRRUMI S.A.,4,1846.9,CAJAMARCA,HUALGAYOC; SAN MIGUEL,EXTINGUIDO; TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. FRATERNIDAD DE CAJAMARCA,4,14.5,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
HUDBAY PERU S.A.C.,4,2700.0,CAJAMARCA,JAEN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINORTEX S.A.C.,4,801.9,CAJAMARCA,HUALGAYOC; HUALGAYOC /  SAN MIGUEL,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
M & L STONES MINERAL S.A.C.,4,900.0,CAJAMARCA,CONTUMAZA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
BEPCOC MINING SAC,4,1000.0,CAJAMARCA; PIURA,AYABACA; CAJAMARCA /  CONTUMAZA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ARPE CALEROS S.R.L.,4,500.0,CAJAMARCA,CAJAMARCA; CELENDIN; HUALGAYOC,TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ANDISA DEL PERU S.A.C.,4,600.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SHAHUINDO S.A.C.,4,9611.9,CAJAMARCA,CAJABAMBA,OTROS; TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
DOVISA SERVICIOS INTEGRALES E.I.R.L. Y OTROS,4,1200.0,PIURA,AYABACA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA Y SERVICIOS ORO NEGRO E.I.R.L,4,1100.0,PIURA,MORROPON; PIURA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EDG MACKENZIE CONTRATISTAS GENERALES SAC,4,700.0,PIURA,PIURA; SECHURA; SULLANA,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
FOSYEIKI S.A.C.,4,800.0,PIURA,SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. GIBSON I,4,509.9,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION MINERA EL DORADO SAC,4,3700.0,PIURA,SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA PIRAMIDE E.I.R.L.,4,1400.0,PIURA,AYABACA; PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CERAMICOS EL ROBLE S.A.C,4,400.0,PIURA,PAITA; SULLANA,EXTINGUIDO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS GENERALES VIVIANA E.I.R.L.,4,800.0,PIURA,PIURA; SULLANA; TALARA,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ONIX DEL NORTE S.A.C.,4,2000.0,PIURA,AYABACA; AYABACA /  SULLANA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ESTACIÓN DE SERVICIOS CURO S.R.L,4,700.0,PIURA,PIURA; SULLANA; TALARA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINETRONIX S.A.C.,4,4000.0,PIURA,SULLANA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES MINERAS DE LOS ANDES S.A.C.,3,211.8,ANCASH,CASMA,OTROS; TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA SIDERURGICA DEL PERU S.A.A.,3,654.1,ANCASH,CASMA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES MINERAS C & D S.A.C.,3,900.0,ANCASH,CASMA; HUARMEY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SOMINBOR S.A.,3,460.8,ANCASH,CASMA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ECOING PERU S.R.L.,3,600.0,ANCASH; CAJAMARCA,CASMA; CHOTA /  HUALGAYOC; HUALGAYOC,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA FERRO CARBON S.A.C.,3,367.0,ANCASH,CORONGO; CORONGO /  SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
VIVA MI LUZ S.A.C.,3,300.0,ANCASH,CORONGO /  SANTA; SANTA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION E INVERSIONES DEL PERU S.R.L,3,300.0,ANCASH,HUARMEY,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINING COAL CORPORATION S.A.C.,3,1700.0,ANCASH,HUARMEY; PALLASCA,TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO VANFNOR S.A.C,3,300.0,ANCASH,HUARMEY,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
VENASAM E.I.R.L,3,400.0,ANCASH; ANCASH /  LA LIBERTAD,HUARMEY /  MAR; SANTA; SANTA /  VIRU,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CRITICAL MINERALS PERU S.A.,3,1700.0,ANCASH; CAJAMARCA /  LA LIBERTAD,CAJABAMBA /  SANCHEZ CARRION; MAR /  SANTA,TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA AURIFERA AVENTURA 77 S.A.,3,1042.2,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA RC S.A.C.,3,1218.2,ANCASH,PALLASCA,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
HATUM MINAS S.A.C.,3,1400.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA VALE UN PERU E.I.R.L.,3,800.0,ANCASH,SANTA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINERA MARAÑON,3,700.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERAL PERU AGROINDUSTRIA Y MINERIA S.A.C.,3,500.0,ANCASH,SANTA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS MULTIPLES DEL SANTA S.A.C,3,1000.0,ANCASH,SANTA,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ESTEBAN SEBASTIAN,3,700.0,ANCASH,SANTA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA MARTI S.A.C.,3,900.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERIA Y CONSTRUCCION DIJEECOS E.I.R.L.,3,600.0,ANCASH,YUNGAY,EXTINGUIDO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MC INVESTMENTS PERU S.A.C.,3,1000.0,CAJAMARCA,CAJAMARCA /  CELENDIN; CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA MINERA EL PROGRESO S.R.L.,3,400.0,CAJAMARCA,HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MOROCHA DE CAJAMARCA,3,12.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA EL FERROL S.A.C.,3,397.4,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SOCIEDAD MINERA W.V. CORDILLERA SEKAI S.R.L.,3,700.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
XTRA MINERAL GOLD LIMITED E.I.R.L.,3,700.0,CAJAMARCA,CAJABAMBA; HUALGAYOC,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA AURIFERA DEL SUR S.A.,3,2100.0,CAJAMARCA,CAJAMARCA; CAJAMARCA /  CELENDIN,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA LA ZANJA S.R.L.,3,13843.8,CAJAMARCA,SAN MIGUEL; SAN MIGUEL /  SANTA CRUZ; SANTA CRUZ,OTROS; TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS Y OPERACIONES EL ROSEDAL S.A.,3,1000.0,CAJAMARCA,SAN MIGUEL,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
HNS CONSORCIO S.R.L.,3,1500.0,CAJAMARCA,CAJABAMBA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
LAS VIZCACHAS J&V E.I.R.L.,3,500.0,CAJAMARCA,CAJAMARCA; SAN PABLO,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES SISA & ASOCIADOS S.A.C.,3,800.0,CAJAMARCA; CAJAMARCA /  LA LIBERTAD,CAJABAMBA; CAJABAMBA /  SANCHEZ CARRION,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GEOANDINA EXPLORACIONES S.A.C.,3,1900.0,CAJAMARCA; CAJAMARCA /  LA LIBERTAD,CAJABAMBA; CAJABAMBA /  GRAN CHIMU /  OTUZCO; CAJABAMBA /  OTUZCO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SILVANA Y DULCE IV,3,600.0,CAJAMARCA,CONTUMAZA,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ALCAORO S.A.C.,3,1200.0,CAJAMARCA; PIURA,AYABACA; CONTUMAZA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CRISTAL 2,3,1200.0,CAJAMARCA,SANTA CRUZ,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
JIMEBAL S.R.L.,3,1000.0,CAJAMARCA,SAN IGNACIO,EXTINGUIDO; TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EXTRACCION Y COMERCIALIZACION DE MINERALES NAYZA EIRL,3,430.2,CAJAMARCA; PIURA,FUERA DEL PERU /  SAN IGNACIO; PIURA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
G & J MINERIA Y CONSTRUCCIONES S.R.L.,3,700.0,PIURA,MORROPON; PIURA,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES LOS CEIVOS S.A.C.,3,1300.0,PIURA,AYABACA; AYABACA /  PIURA,EXTINGUIDO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CARRISALILLO 2012 S.R.L.,3,1900.0,PIURA,PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PALO SANTO PERU S.R.L.,3,2000.0,PIURA,MORROPON /  PIURA; PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
WARBO GOLD WJS S.A.C.,3,1400.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA MINERA LOS ALISOS E.I.R.L.,3,700.0,PIURA,PAITA; PIURA; SECHURA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PALPINA COMPAÑIA MINERA S.A.C.,3,2600.0,PIURA,AYABACA; AYABACA /  PIURA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GAMBELL TRADING S.A.C.,3,302.0,PIURA,SULLANA; TALARA,OTROS; TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SOCIEDAD TERRA DEL INCA S.A.C.,3,700.0,PIURA,MAR /  PAITA; PAITA /  SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS LOGISTICOS INTEGRALES DEL NORTE SOCIEDAD COMERCIAL,3,300.0,PIURA,SULLANA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
KIMORA EXPLORER E.I.R.L.,3,1300.0,PIURA,PAITA; PIURA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
DISTRIBUIDORA PALACIOS SERVICIOS GENERALES E.I.R.L.,3,500.0,PIURA,PAITA; SULLANA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ANTARUMI MINERALS S.A.C.,3,500.0,PIURA,AYABACA /  FUERA DEL PERU; AYABACA /  FUERA DEL PERU /  SULLANA; AYABACA /  SULLANA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CRREMIN INGENIEROS E INSTALACIONES S.A.,2,400.0,ANCASH,CASMA,TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EXPLORACIONES GREAT PROJECT S.A.C.,2,500.0,ANCASH; PIURA,AYABACA; CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORI LUYCHO S.A.C.,2,800.0,ANCASH,CASMA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CERRO BLANCO 2019,2,300.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. JAZMIN JHESLYN I,2,200.0,ANCASH,CASMA,TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
NOOSFERA CONSULTORES SOCIEDAD ANONIMA CERRADA,2,2000.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MAVERICK TECH SOCIEDAD ANONIMA CERRADA,2,900.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA CARAVELI S.A.C.,2,1199.9,ANCASH; CAJAMARCA,CASMA; SANTA CRUZ,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERILT IMPORTACION & MAQUINARIA EN GENERAL S.A.C.,2,500.0,ANCASH,CASMA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
JOMAH SHEL ZAHAB E.I.R.L.,2,600.0,ANCASH,CASMA; HUARMEY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
H.M. INTERNACIONAL E.I.R.L.,2,400.0,ANCASH,CASMA /  MAR,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GLOBALWEALTH S.A.C.,2,400.0,ANCASH,CASMA /  MAR,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION MINERA DEL SANTA S.A.C.,2,1002.9,ANCASH,CORONGO /  SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES ROSA UNO S.A.C.,2,700.0,ANCASH,HUARMEY,TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. FILOMENA 100,2,200.0,ANCASH,HUARMEY,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CIA MINERA TUCHICA E.I.R.L.,2,400.0,ANCASH,HUARMEY; SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. BARTOLO 08,2,200.0,ANCASH,HUARMEY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
T & V CONSTRUCTORES Y PROVEEDORES S.A.C.,2,600.0,ANCASH,HUARMEY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ECO BIRRAK S.A.C.,2,900.0,ANCASH,HUARMEY /  MAR,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA SAN TEOFILO DE ANTIOQUIA E.I.R.L.,2,1300.0,ANCASH,HUARMEY /  MAR,EXTINGUIDO; TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
J.C. E.I.R.L.,2,600.0,ANCASH,HUAYLAS; SANTA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSORCIO YOMAR S.A.C.,2,600.0,ANCASH,MAR /  SANTA; SANTA,EXTINGUIDO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA CAMINANTE S.A.C,2,1568.3,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PEÑA BLESSED S.A.C.,2,300.0,ANCASH,PALLASCA,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CRAVES S.A.C,2,300.0,ANCASH,PALLASCA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COLIBRI COPPER S.A.C.,2,47.1,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
AGROFRUTAS DEL NORTE S.A.C.,2,200.0,ANCASH; CAJAMARCA,CONTUMAZA; PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA COLVADIHS NORTE S.A.C,2,600.0,ANCASH; ANCASH /  LA LIBERTAD,PALLASCA; PALLASCA /  SANTIAGO DE CHUCO,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GREMAHAL SOCIEDAD MINERA S.A.C.,2,300.0,ANCASH,SANTA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EXPLOMAX GOLD S.A.,2,200.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MAGELLAN GOLD PERU S.A.C.,2,1200.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MI FLACA,2,1400.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
TRIPLE R - CONSTRUCTORA Y SERVICIOS GENERALES E.I.R.L.,2,200.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES GENERALES VILLA CRUZ S.A.C.,2,600.0,ANCASH,SANTA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EXPLORACIONES SAN CRISTOBAL S.A.C.,2,300.0,ANCASH; PIURA,AYABACA; SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONDOR EXPLORATION PERU S.A.C.,2,200.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL BOSQUE TRES,2,400.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
BALBIS E.I.R.L.,2,500.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ALBA TRADE S.A.C.,2,2000.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CANTERA B&S,2,400.0,ANCASH,SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. TELMO II,2,300.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA ROKA S.R.L.,2,300.0,ANCASH,SANTA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA APPLETON S.A.C.,2,1500.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA TITAN DEL PERU S.R.L.,2,500.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA OQUENDO S.R.L.,2,900.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
REYESA GROUP S.A.C.,2,400.0,ANCASH,SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA SAMI S.A.C.,2,200.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LOS GALACTICOS,2,900.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA & MINERA NORTH PERU S.A.C.,2,300.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. JPF 1111-NEPEÑA,2,1000.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERIA Y METALURGIA S.A.,2,134.8,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,EXTINGUIDO; TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA CERRO BAYO S.R.L.,2,200.0,ANCASH /  LA LIBERTAD,PALLASCA /  SANTIAGO DE CHUCO,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INGENIERIA DIAZ & INNOVACIONES INTEGRADOS S.A.C.,2,200.0,CAJAMARCA,CAJAMARCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
NCH EXPLORATION S.A.C.,2,1200.0,CAJAMARCA,SANTA CRUZ,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SOCIEDAD MINERA GHANDARVA S.R.L.,2,88.0,CAJAMARCA,CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERIA NO METALICA UNION NUEVA S.A.C. Y OTROS,2,125.0,CAJAMARCA,HUALGAYOC,TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL IMAN,2,8.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MULTISERVICIOS Y TRANSPORTES JUAN JOSE S.R.L.,2,200.0,CAJAMARCA,CHOTA /  HUALGAYOC; HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA & MINERIA JOMESA E.I.R.L.,2,300.0,CAJAMARCA,CAJAMARCA; CAJAMARCA /  CELENDIN,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA CIMA DORADA S.A.C,2,1000.0,CAJAMARCA,CAJABAMBA; CAJAMARCA /  CELENDIN,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MIN DU S.A.C.,2,200.0,CAJAMARCA,CAJAMARCA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION PEÑA NEGRA S.R.L.,2,200.0,CAJAMARCA,CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
FALCON EXPLORACIONES S.A.C.,2,400.0,CAJAMARCA; CAJAMARCA /  LAMBAYEQUE,FERREÑAFE /  JAEN; JAEN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINAS AZULES MINERA Y CONSTRUCCION S.A.C.,2,1200.0,CAJAMARCA,CAJABAMBA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SANTA ANA 2,2,800.0,CAJAMARCA,CONTUMAZA,TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES Y SERVICIOS GENERALES PENCASPAMPA SOCIEDAD COMER,2,200.0,CAJAMARCA,CHOTA; HUALGAYOC,TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INDUAMERICA SERVICIOS LOGISTICOS S.A.C.,2,900.0,CAJAMARCA,CHOTA; SANTA CRUZ,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. NOVA JJ DE PIURA,2,1983.1,CAJAMARCA,SAN IGNACIO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA SAYARUMI S.A.C.,2,245.1,CAJAMARCA,CAJAMARCA; CELENDIN,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CALERA EL ZASAL E.I.R.L.,2,57.1,CAJAMARCA,HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA SAN NICOLAS S.A.,2,26.0,CAJAMARCA,HUALGAYOC,OTROS; TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CAPRICORNIO,2,5.6,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GOLDEN WOLF MINERALS S.A.C.,2,1000.0,CAJAMARCA,SAN MARCOS,TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CARBON DEL NORTE S.R.L.,2,300.0,CAJAMARCA,CHOTA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERIA & TRANSPORTE LJ S.A.C.,2,300.0,CAJAMARCA,CHOTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CERRO VANGUARDIA IV,2,400.0,CAJAMARCA,CONTUMAZA /  SAN MIGUEL,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
